Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
Movie Task-bridge,subject008,-5,9.1,1,1,5.3,10,10,9.1,1,1,1,3.9,7.3,1,10,8,9.1,-0.055046289,0.280933569,0.317858122,0.40958,-0.38854,0.42545,2.65108
Movie Task-bridge,subject008,-5,9.1,1,1,5.3,10,10,9.1,1,1,1,3.9,7.3,1,10,8,9.1,-0.055046289,0.280933569,0.317858122,0.40958,-0.38854,0.42545,2.65108
Two-Back Task-scenes,subject008,10,10,1,6.3,1,1,10,10,8,1,3.2,3.5,3.7,5.5,5,1,6.5,-0.130999829,0.464204275,-0.426960277,-0.20645,-0.13824,-0.27539,-0.04261
Two-Back Task-scenes,subject008,6,10,1,7.1,1,1,10,7.6,1,1,1,7,5.2,10,5,1,7.6,-0.130999829,0.464204275,-0.426960277,0.85669,-0.76803,-0.91221,0.42978
Two-Back Task-faces,subject008,-10,6.6,10,5,1,1,10,7,3,1,1.6,4,1.8,7.2,5,1,7.1,-0.025340712,0.386745896,-0.434225517,-0.93182,-0.68659,0.60216,0.26115
Two-Back Task-faces,subject008,14,10,10,3,4,1,10,5,3,1,1,7.8,5.7,6.5,6.2,1,8.4,-0.025340712,0.386745896,-0.434225517,0.22305,-1.02246,0.69802,0.76739
Memory Task,subject008,-7,10,10,1,7,8.2,9.4,10,9.1,1,1,9.2,9.5,9,9.1,8.1,10,-0.036691414,0.115884583,0.323863964,0.71449,0.76723,1.54038,1.7736
Memory Task,subject008,-7,6.9,10,1,3.1,9.2,9.2,10,9.4,1,1,6.1,8,3,9.2,6,10,-0.036691414,0.115884583,0.323863964,-0.28424,0.41326,1.47973,1.97763
Memory Task,subject008,-13,8.2,1,1,10,3.8,6.9,10,9.1,1,4.9,4.2,4,1,1,6.7,9.4,-0.036691414,0.115884583,0.323863964,-0.59287,-0.48572,1.49918,-0.76535
Reading Task,subject008,-15,10,3.1,5.1,10,1,4,1,10,1,1,10,4,1,5,5.4,2,-0.19586954,-0.014883893,0.326889586,0.03973,-0.73902,-0.60496,-0.21481
Reading Task,subject008,11,10,1,3.1,10,1,5.1,1,10,1,1,10,7.9,1,5,2.1,3,-0.19586954,-0.014883893,0.326889586,0.42045,-1.00729,-0.6861,0.0989
Reading Task,subject008,-6,9.3,1,4.2,10,1,9,8,6.3,1,3,10,6,5.4,4.1,8,5.1,-0.19586954,-0.014883893,0.326889586,0.67029,-0.4643,0.30904,0.10241
Movie Task-bridge,subject009,-12,4.5,8.8,1,10,10,10,5.4,3.5,4.8,3.7,4.1,1,6.1,4.8,5.3,5.4,-0.055046289,0.280933569,0.317858122,-1.53257,0.25255,1.61302,0.37344
Movie Task-bridge,subject009,-12,4.5,8.8,1,10,10,10,5.4,3.5,4.8,3.7,4.1,1,6.1,4.8,5.3,5.4,-0.055046289,0.280933569,0.317858122,-1.53257,0.25255,1.61302,0.37344
Movie Task-incept,subject009,-12,3.2,10,6.1,9.2,7.5,8.7,1,3.7,4.4,1.3,5.2,5.2,6,6.5,2.9,2.7,-0.293453447,0.376771714,0.156545561,-0.85564,0.06071,0.23139,0.63662
Movie Task-incept,subject009,-12,3.2,10,6.1,9.2,7.5,8.7,1,3.7,4.4,1.3,5.2,5.2,6,6.5,2.9,2.7,-0.293453447,0.376771714,0.156545561,-0.85564,0.06071,0.23139,0.63662
GoNoGo Task,subject009,-11,3.2,1.8,5.5,1,1,3.1,1.2,2,2.9,2.8,1,2,1.3,4.4,3,1,-0.31702636,0.036362577,-0.159410417,-1.57685,-0.73046,-1.71548,0.12284
GoNoGo Task,subject009,-12,2,8.9,1.8,3,5.3,8.5,8,2.3,3.1,1.6,2.9,3.5,3.6,2,6.5,3.1,-0.31702636,0.036362577,-0.159410417,-1.85847,-0.4704,1.03001,0.2411
GoNoGo Task,subject009,-10,4.8,5.5,4.2,3.7,1,4,3.4,3.3,2,3.3,4.2,2.6,3.2,1.6,2.1,2,-0.31702636,0.036362577,-0.159410417,-1.3522,-0.89812,-0.47498,-0.54627
