Task_name,Participant#,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient1,Gradient2,Gradient3,FAC1_1,FAC2_1,FAC3_1,FAC4_1
You Task,subject024,11,1,1,1,1,1,1,1,1,1,1,5.7,1.50000000000002,1,8.89999999999999,10,1,-.068702623,.051618542,.14160951,-.925856516208704,-.768508467406969,-1.41550352260567,-1.87370157077766
Easy Math Task,subject024,6,6.1,1,10,1,1,1,1,1,1,1,6.6,3.20000000000002,1,1,1,6.99999999999999,-.124954138,.332221971,-.020870498,.327885928873561,-2.2464746628975,-1.44430514052397,.468268902043936
Easy Math Task,subject024,-13,7.3,4.9,7.3,1,1,1,2.6,7.69999999999999,1,6.79999999999999,6.79999999999999,1,1,9.39999999999998,6.20000000000001,8,-.124954138,.332221971,-.020870498,-.197832922943426,-.141236883505662,-.690796861952394,-.341780316100165
Easy Math Task,subject024,-15,1,1,1,1,1,1,1,1,1,1,5.5,1,1,5.70000000000002,1,8.20000000000001,-.124954138,.332221971,-.020870498,-.741374810802721,-1.84091871519446,-1.02771287060385,-1.28454430283263
Hard Math Task,subject024,15,1,1,10,1,1,1,1,1,1,1,5.50000000000001,1,1,4.90000000000002,1,10,-.275798122,.402380589,-.407389088,-.0162407103101563,-2.10245939561898,-1.30848539793298,-.179758211789628
Hard Math Task,subject024,9,1,1,8.4,5,1,1,1.30000000000002,6.20000000000001,1,1,6.4,1,1,1,1,1,-.275798122,.402380589,-.407389088,-1.14620335071224,-1.86646817516231,-1.41029375790904,.581087385298292
Hard Math Task,subject024,-6,7.49999999999999,7.40000000000001,2.80000000000001,2.40000000000002,1,1.20000000000002,1,8.49999999999999,1,2.6,5.60000000000001,1,1,5.30000000000002,1,4.20000000000001,-.275798122,.402380589,-.407389088,-1.18540039351967,-.826662838618361,-.628330173046483,-.395669655014013
One-Back Task,subject27,8,9.59999999999998,1,10,10,3,10,8.59999999999999,3.70000000000001,2.2,10,10,10,8.09999999999999,5,4.5,10,-.009918255,-.030028992,-.537272264,2.19436694624842,.536245242993341,-.0363941786332754,.589999545552564
One-Back Task,subject27,9,9,6.99999999999999,10,10,9.5,10,10,1,2.80000000000001,10,10,9,7.39999999999999,9.79999999999998,3.40000000000001,7.3,-.009918255,-.030028992,-.537272264,2.22744882411188,1.71439560464286,-.0520563123678875,-.741645224645389
One-Back Task,subject27,15,10,1,10,10,10,10,10,1,1,1,10,10,10,10,1,10,-.009918255,-.030028992,-.537272264,3.30526288100088,.687133062747362,-.604423130007329,-.874701182767424
Zero-Back Task,subject27,15,10,1,10,10,10,10,10,10,5.6,10,2,4.6,10,8.59999999999999,1,3.7,.092938821,-.060981931,-.389395513,.257952570155033,2.49770987541608,-.843580775232168,1.18845261380888
